1,0.939
1,0.8388
1,0.8704
1,0.9932
1,0.8755
1,0.8856
1,0.8911
1,0.9198
1,0.9326
2,0.83
2,0.8353
2,0.8066
2,0.782
2,0.7993
2,0.8707
2,0.8352
2,0.8511
2,0.8006
3,0.908
3,0.8361
3,0.8907
3,0.8303
3,0.8091
3,0.8107
3,0.8884
3,0.8833
3,0.845
4,1.02
4,0.9664
4,0.9415
4,0.9518
4,0.9334
4,0.9189
4,0.9019
4,0.9689
4,0.9136
5,1.0758
5,1.0374
5,1.0943
5,1.1354
5,1.1158
5,1.2385
5,1.1625
5,1.0265
5,1.0901
6,1.0049
6,0.939
6,0.8811
6,1.0956
6,0.9913
6,0.8625
6,1.0004
6,1.07
6,0.8757
7,0.9766
7,1.0945
7,1.0594
7,0.9466
7,0.9857
7,0.9025
7,0.899
7,0.982
7,0.9146
8,0.8971
8,0.8396
8,0.8438
8,0.8837
8,0.8463
8,0.8225
8,0.7951
8,0.8025
8,0.9262
9,0.983
9,1.0466
9,0.9437
9,0.8815
9,0.8743
9,0.9317
9,0.9863
9,1.0063
9,0.9711
10,1.1024
10,1.0504
10,1.0368
10,1.1515
10,1.0929
10,1.1114
10,1.0949
10,1.1094
10,1.1454
11,1.0949
11,0.8486
11,1.0358
11,1.0027
11,1.0068
11,0.9504
11,1.0576
11,0.9443
11,0.973
12,1.0631
12,1.1483
12,1.0694
12,1.0294
12,1.0302
12,1.0738
12,1.0655
12,1.0684
12,1.0261
13,1.2277
13,1.0316
13,1.0506
13,1.1267
13,1.0931
13,1.1093
13,1.0624
13,1.1701
13,1.1364
14,1.0766
14,1.0178
14,0.9309
14,0.9042
14,0.9022
14,0.9966
14,0.9041
14,0.9229
14,1.0036
15,1.1065
15,1.193
15,1.0935
15,1.1473
15,1.1738
15,1.1886
15,1.1903
15,1.0789
15,1.0795
16,0.9215
16,1.019
16,0.9024
16,0.9579
16,0.9277
16,0.9328
16,0.8849
16,0.8926
16,0.9246
17,1.1339
17,1.1732
17,1.247
17,1.1776
17,1.0054
17,1.0494
17,1.0183
17,1.0052
17,1.1358
18,1.0587
18,1.1208
18,1.1025
18,1.1909
18,1.1525
18,1.1074
18,1.1563
18,1.0052
18,1.1242
19,0.9549
19,0.9447
19,0.9903
19,0.9771
19,0.9613
19,1.0462
19,0.9461
19,0.942
19,1.0056
20,1.1379
20,1.1134
20,1.2102
20,1.1104
20,1.1323
20,1.1524
20,1.0116
20,1.1023
20,1.1245
21,1.0721
21,1.083
21,1.0502
21,1.1186
21,1.1656
21,1.278
21,1.1471
21,1.055
21,1.1844
22,1.0311
22,1.0744
22,1.1948
22,1.2224
22,1.1983
22,1.2318
22,1.1187
22,1.1566
22,1.2349
23,1.2159
23,1.1975
23,1.2048
23,1.262
23,1.1857
23,1.1974
23,1.2625
23,1.1541
23,1.2775
24,1.043
24,1.0117
24,0.9908
24,1.0853
24,1.0442
24,1.063
24,1.0921
24,1.1036
24,1.0211
25,1.1186
25,1.1188
25,1.053
25,1.0573
25,1.169
25,1.1419
25,1.198
25,1.1978
25,1.1087
26,1.1787
26,1.1712
26,1.1421
26,1.1547
26,1.1249
26,1.12
26,1.1159
26,1.206
26,1.1356
27,1.1663
27,1.1183
27,1.165
27,1.138
27,1.0775
27,1.0684
27,1.1479
27,1.0996
27,1.1143
28,1.2155
28,1.2
28,1.291
28,1.2431
28,1.3184
28,1.2185
28,1.1891
28,1.2986
28,1.2107
29,1.1803
29,1.2449
29,1.265
29,1.2837
29,1.1634
29,1.2607
29,1.1064
29,1.2272
29,1.2224
